State	2019
Aosta valley	10.3
Sardinia	8.43
Emilia Romagna	8.08
Tuscany	7.87
Liguria	7.62
Trentino-South Tyrol	7.5
Friuli Venezia Giulia	7.35
Veneto	6.51
Lombardy	6.43
Marche 	6.13
Umbria	5.92
Piedmonte	5.37
Molise 	5.24
lazio	5.03
Basilicata	4.91
Abruzzo	4.61
calabria	4.56
Apulia	3.52
Sicily	3.47
Campania	3.24
